Country,Year_New,Item,Value
Algeria,2004,Rice,0
Algeria,2005,Rice,0
Algeria,2006,Rice,0
Algeria,2007,Rice,0
Algeria,2008,Rice,0
Algeria,2009,Rice,0
Algeria,2010,Rice,0
Algeria,2011,Rice,0
Algeria,2012,Rice,0
Algeria,2013,Rice,0
Angola,2004,Rice,9
Angola,2005,Rice,6
Angola,2006,Rice,3
Angola,2007,Rice,3
Angola,2008,Rice,6
Angola,2009,Rice,10
Angola,2010,Rice,12
Angola,2011,Rice,15
Angola,2012,Rice,14
Angola,2013,Rice,25
Benin,2004,Rice,43
Benin,2005,Rice,52
Benin,2006,Rice,47
Benin,2007,Rice,50
Benin,2008,Rice,70
Benin,2009,Rice,75
Benin,2010,Rice,83
Benin,2011,Rice,146
Benin,2012,Rice,146
Benin,2013,Rice,138
Burkina Faso,2004,Rice,50
Burkina Faso,2005,Rice,62
Burkina Faso,2006,Rice,76
Burkina Faso,2007,Rice,46
Burkina Faso,2008,Rice,130
Burkina Faso,2009,Rice,142
Burkina Faso,2010,Rice,181
Burkina Faso,2011,Rice,161
Burkina Faso,2012,Rice,213
Burkina Faso,2013,Rice,204
Cameroon,2004,Rice,33
Cameroon,2005,Rice,39
Cameroon,2006,Rice,43
Cameroon,2007,Rice,46
Cameroon,2008,Rice,48
Cameroon,2009,Rice,90
Cameroon,2010,Rice,102
Cameroon,2011,Rice,116
Cameroon,2012,Rice,121
Cameroon,2013,Rice,129
Central African Republic,2004,Rice,21
Central African Republic,2005,Rice,31
Central African Republic,2006,Rice,27
Central African Republic,2007,Rice,25
Central African Republic,2008,Rice,25
Central African Republic,2009,Rice,26
Central African Republic,2010,Rice,26
Central African Republic,2011,Rice,27
Central African Republic,2012,Rice,28
Central African Republic,2013,Rice,25
Chad,2004,Rice,61
Chad,2005,Rice,99
Chad,2006,Rice,71
Chad,2007,Rice,71
Chad,2008,Rice,113
Chad,2009,Rice,117
Chad,2010,Rice,113
Chad,2011,Rice,115
Chad,2012,Rice,187
Chad,2013,Rice,220
Congo,2004,Rice,1
Congo,2005,Rice,1
Congo,2006,Rice,1
Congo,2007,Rice,1
Congo,2008,Rice,1
Congo,2009,Rice,1
Congo,2010,Rice,1
Congo,2011,Rice,1
Congo,2012,Rice,1
Congo,2013,Rice,1
Cote d'Ivoire,2004,Rice,455
Cote d'Ivoire,2005,Rice,470
Cote d'Ivoire,2006,Rice,478
Cote d'Ivoire,2007,Rice,404
Cote d'Ivoire,2008,Rice,454
Cote d'Ivoire,2009,Rice,459
Cote d'Ivoire,2010,Rice,805
Cote d'Ivoire,2011,Rice,582
Cote d'Ivoire,2012,Rice,1042
Cote d'Ivoire,2013,Rice,1290
Egypt,2004,Rice,4237
Egypt,2005,Rice,4086
Egypt,2006,Rice,4506
Egypt,2007,Rice,4587
Egypt,2008,Rice,4838
Egypt,2009,Rice,3682
Egypt,2010,Rice,2888
Egypt,2011,Rice,3785
Egypt,2012,Rice,3943
Egypt,2013,Rice,3818
Ethiopia,2004,Rice,8
