Country,Year_New,Item,Value,Population
Algeria,2004,Rice,0,32692153
Algeria,2005,Rice,0,33149720
Algeria,2006,Rice,0,33641007
Algeria,2007,Rice,0,34166976
Algeria,2008,Rice,0,34730604
Algeria,2009,Rice,0,35333882
Algeria,2010,Rice,0,35977451
Algeria,2011,Rice,0,36661438
Algeria,2012,Rice,0,37383899
Algeria,2013,Rice,0,38140135
Angola,2004,Rice,9,18758138
Angola,2005,Rice,6,19433604
Angola,2006,Rice,3,20149905
Angola,2007,Rice,3,20905360
Angola,2008,Rice,6,21695636
Angola,2009,Rice,10,22514275
Angola,2010,Rice,12,23356247
Angola,2011,Rice,15,24220660
Angola,2012,Rice,14,25107925
Angola,2013,Rice,25,26015786
Benin,2004,Rice,43,7750003
Benin,2005,Rice,52,7982223
Benin,2006,Rice,47,8216893
Benin,2007,Rice,50,8454790
Benin,2008,Rice,70,8696915
Benin,2009,Rice,75,8944713
Benin,2010,Rice,83,9199254
Benin,2011,Rice,146,9460829
Benin,2012,Rice,146,9729254
Benin,2013,Rice,138,10004594
Burkina Faso,2004,Rice,50,13030576
Burkina Faso,2005,Rice,62,13421935
Burkina Faso,2006,Rice,76,13829173
Burkina Faso,2007,Rice,46,14252029
Burkina Faso,2008,Rice,130,14689725
Burkina Faso,2009,Rice,142,15141098
Burkina Faso,2010,Rice,181,15605211
Burkina Faso,2011,Rice,161,16081915
Burkina Faso,2012,Rice,213,16571252
Burkina Faso,2013,Rice,204,17072791
Cameroon,2004,Rice,33,17259322
Cameroon,2005,Rice,39,17733408
Cameroon,2006,Rice,43,18223677
Cameroon,2007,Rice,46,18730283
Cameroon,2008,Rice,48,19252674
Cameroon,2009,Rice,90,19789922
Cameroon,2010,Rice,102,20341236
Cameroon,2011,Rice,116,20906392
Cameroon,2012,Rice,121,21485267
Cameroon,2013,Rice,129,22077300
Central African Republic,2004,Rice,21,3959883
Central African Republic,2005,Rice,31,4038380
Central African Republic,2006,Rice,27,4118075
Central African Republic,2007,Rice,25,4198004
Central African Republic,2008,Rice,25,4273368
Central African Republic,2009,Rice,26,4337623
Central African Republic,2010,Rice,26,4386765
Central African Republic,2011,Rice,27,4418639
Central African Republic,2012,Rice,28,4436411
Central African Republic,2013,Rice,25,4447945
Chad,2004,Rice,61,9734761
Chad,2005,Rice,99,10096630
Chad,2006,Rice,71,10457122
Chad,2007,Rice,71,10818031
Chad,2008,Rice,113,11183589
Chad,2009,Rice,117,11560142
Chad,2010,Rice,113,11952134
Chad,2011,Rice,115,12360986
Chad,2012,Rice,187,12784748
Chad,2013,Rice,220,13220433
Congo,2004,Rice,1,3510468
Congo,2005,Rice,1,3622775
Congo,2006,Rice,1,3745143
Congo,2007,Rice,1,3876123
Congo,2008,Rice,1,4011487
Congo,2009,Rice,1,4145400
Congo,2010,Rice,1,4273738
Congo,2011,Rice,1,4394842
Congo,2012,Rice,1,4510197
Congo,2013,Rice,1,4622757
Cote d'Ivoire,2004,Rice,455,17970493
Cote d'Ivoire,2005,Rice,470,18354513
Cote d'Ivoire,2006,Rice,478,18754914
Cote d'Ivoire,2007,Rice,404,19171250
Cote d'Ivoire,2008,Rice,454,19605568
Cote d'Ivoire,2009,Rice,459,20059147
Cote d'Ivoire,2010,Rice,805,20532944
Cote d'Ivoire,2011,Rice,582,21028652
Cote d'Ivoire,2012,Rice,1042,21547188
Cote d'Ivoire,2013,Rice,1290,22087506
Egypt,2004,Rice,4237,74172073
Egypt,2005,Rice,4086,75523576
Egypt,2006,Rice,4506,76873670
Egypt,2007,Rice,4587,78232124
Egypt,2008,Rice,4838,79636081
Egypt,2009,Rice,3682,81134789
Egypt,2010,Rice,2888,82761244
Egypt,2011,Rice,3785,84529251
Egypt,2012,Rice,3943,86422240
Egypt,2013,Rice,3818,88404652
Ethiopia,2004,Rice,8,74239508
Ethiopia,2005,Rice,7,76346310
Ethiopia,2006,Rice,7,78489205
Ethiopia,2007,Rice,7,80674343
Ethiopia,2008,Rice,48,82916236
Ethiopia,2009,Rice,69,85233923
Ethiopia,2010,Rice,60,87639962
Ethiopia,2011,Rice,59,90139928
Ethiopia,2012,Rice,81,92726982
Ethiopia,2013,Rice,123,95385793
Gabon,2004,Rice,1,1353788
Gabon,2005,Rice,1,1390550
Gabon,2006,Rice,1,1430144
Gabon,2007,Rice,1,1472565
Gabon,2008,Rice,1,1518538
Gabon,2009,Rice,1,1568925
Gabon,2010,Rice,1,1624146
Gabon,2011,Rice,1,1684629
Gabon,2012,Rice,1,1749677
Gabon,2013,Rice,1,1817070
Gambia,2004,Rice,22,1496524
Gambia,2005,Rice,12,1543745
Gambia,2006,Rice,21,1591444
Gambia,2007,Rice,8,1639846
Gambia,2008,Rice,26,1689288
Gambia,2009,Rice,53,1740277
Gambia,2010,Rice,67,1793199
Gambia,2011,Rice,34,1848142
Gambia,2012,Rice,36,1905020
Gambia,2013,Rice,46,1963708
Ghana,2004,Rice,161,21272328
Ghana,2005,Rice,191,21814648
Ghana,2006,Rice,167,22379057
Ghana,2007,Rice,124,22963946
Ghana,2008,Rice,201,23563832
Ghana,2009,Rice,261,24170943
Ghana,2010,Rice,328,24779614
Ghana,2011,Rice,309,25387713
Ghana,2012,Rice,321,25996454
Ghana,2013,Rice,380,26607641
Guinea,2004,Rice,806,8925729
Guinea,2005,Rice,849,9109585
Guinea,2006,Rice,894,9307421
Guinea,2007,Rice,935,9518159
Guinea,2008,Rice,1023,9738796
Guinea,2009,Rice,971,9964470
Guinea,2010,Rice,1076,10192168
Guinea,2011,Rice,1196,10420459
Guinea,2012,Rice,1280,10652032
Guinea,2013,Rice,1370,10892821
Guinea-Bissau,2004,Rice,59,1313492
Guinea-Bissau,2005,Rice,66,1344931
Guinea-Bissau,2006,Rice,71,1377582
Guinea-Bissau,2007,Rice,85,1411545
Guinea-Bissau,2008,Rice,99,1446936
Guinea-Bissau,2009,Rice,121,1483920
Guinea-Bissau,2010,Rice,140,1522603
Guinea-Bissau,2011,Rice,117,1562996
Guinea-Bissau,2012,Rice,132,1604981
Guinea-Bissau,2013,Rice,140,1648259
Kenya,2004,Rice,33,35635267
Kenya,2005,Rice,42,36624897
Kenya,2006,Rice,43,37649039
Kenya,2007,Rice,32,38705934
Kenya,2008,Rice,15,39791984
Kenya,2009,Rice,28,40901798
Kenya,2010,Rice,57,42030684
Kenya,2011,Rice,74,43178270
Kenya,2012,Rice,82,44343469
Kenya,2013,Rice,98,45519986
Liberia,2004,Rice,73,3135654
Liberia,2005,Rice,103,3218114
Liberia,2006,Rice,109,3329211
Liberia,2007,Rice,155,3461911
Liberia,2008,Rice,197,3607863
Liberia,2009,Rice,195,3754129
Liberia,2010,Rice,197,3891357
Liberia,2011,Rice,199,4017446
Liberia,2012,Rice,194,4135662
Liberia,2013,Rice,180,4248337
Madagascar,2004,Rice,2021,17802992
Madagascar,2005,Rice,2263,18336722
Madagascar,2006,Rice,2326,18880265
Madagascar,2007,Rice,2398,19433520
Madagascar,2008,Rice,2611,19996476
Madagascar,2009,Rice,3028,20569115
Madagascar,2010,Rice,3160,21151640
Madagascar,2011,Rice,2868,21743970
Madagascar,2012,Rice,3035,22346641
Madagascar,2013,Rice,2408,22961259
Malawi,2004,Rice,33,12301837
Malawi,2005,Rice,28,12625950
Malawi,2006,Rice,61,12973693
Malawi,2007,Rice,75,13341808
Malawi,2008,Rice,77,13727899
Malawi,2009,Rice,91,14128161
