Country,Year_New,Value_New
Algeria,2004,2987 kcal/person/day
Algeria,2005,2958 kcal/person/day
Algeria,2006,3047 kcal/person/day
Algeria,2007,3041 kcal/person/day
Algeria,2008,3048 kcal/person/day
Algeria,2009,3110 kcal/person/day
Algeria,2010,3142 kcal/person/day
Algeria,2011,3217 kcal/person/day
Algeria,2012,3272 kcal/person/day
Algeria,2013,3296 kcal/person/day
Angola,2004,2030 kcal/person/day
Angola,2005,2077 kcal/person/day
Angola,2006,2119 kcal/person/day
Angola,2007,2173 kcal/person/day
Angola,2008,2245 kcal/person/day
Angola,2009,2303 kcal/person/day
Angola,2010,2345 kcal/person/day
Angola,2011,2407 kcal/person/day
Angola,2012,2384 kcal/person/day
Angola,2013,2473 kcal/person/day
Benin,2004,2461 kcal/person/day
Benin,2005,2435 kcal/person/day
Benin,2006,2450 kcal/person/day
Benin,2007,2564 kcal/person/day
Benin,2008,2521 kcal/person/day
Benin,2009,2565 kcal/person/day
Benin,2010,2555 kcal/person/day
Benin,2011,2598 kcal/person/day
Benin,2012,2610 kcal/person/day
Benin,2013,2619 kcal/person/day
Botswana,2004,2191 kcal/person/day
Botswana,2005,2198 kcal/person/day
Botswana,2006,2150 kcal/person/day
Botswana,2007,2166 kcal/person/day
Botswana,2008,2184 kcal/person/day
Botswana,2009,2199 kcal/person/day
Botswana,2010,2234 kcal/person/day
Botswana,2011,2273 kcal/person/day
Botswana,2012,2342 kcal/person/day
Botswana,2013,2326 kcal/person/day
Burkina Faso,2004,2505 kcal/person/day
Burkina Faso,2005,2463 kcal/person/day
Burkina Faso,2006,2559 kcal/person/day
Burkina Faso,2007,2546 kcal/person/day
Burkina Faso,2008,2588 kcal/person/day
Burkina Faso,2009,2639 kcal/person/day
Burkina Faso,2010,2681 kcal/person/day
Burkina Faso,2011,2664 kcal/person/day
Burkina Faso,2012,2707 kcal/person/day
Burkina Faso,2013,2720 kcal/person/day
Cabo Verde,2004,2523 kcal/person/day
Cabo Verde,2005,2517 kcal/person/day
Cabo Verde,2006,2513 kcal/person/day
Cabo Verde,2007,2574 kcal/person/day
Cabo Verde,2008,2540 kcal/person/day
Cabo Verde,2009,2558 kcal/person/day
Cabo Verde,2010,2524 kcal/person/day
Cabo Verde,2011,2566 kcal/person/day
Cabo Verde,2012,2590 kcal/person/day
Cabo Verde,2013,2609 kcal/person/day
Cameroon,2004,2246 kcal/person/day
Cameroon,2005,2311 kcal/person/day
Cameroon,2006,2354 kcal/person/day
Cameroon,2007,2378 kcal/person/day
Cameroon,2008,2446 kcal/person/day
Cameroon,2009,2492 kcal/person/day
Cameroon,2010,2510 kcal/person/day
Cameroon,2011,2573 kcal/person/day
Cameroon,2012,2622 kcal/person/day
Cameroon,2013,2671 kcal/person/day
Central African Republic,2004,1989 kcal/person/day
Central African Republic,2005,2026 kcal/person/day
Central African Republic,2006,2029 kcal/person/day
Central African Republic,2007,2090 kcal/person/day
Central African Republic,2008,2133 kcal/person/day
Central African Republic,2009,2139 kcal/person/day
Central African Republic,2010,2164 kcal/person/day
Central African Republic,2011,2154 kcal/person/day
Central African Republic,2012,2116 kcal/person/day
Central African Republic,2013,1879 kcal/person/day
Chad,2004,2026 kcal/person/day
Chad,2005,2034 kcal/person/day
Chad,2006,2022 kcal/person/day
Chad,2007,2028 kcal/person/day
Chad,2008,2027 kcal/person/day
Chad,2009,2021 kcal/person/day
Chad,2010,2057 kcal/person/day
Chad,2011,2062 kcal/person/day
Chad,2012,2124 kcal/person/day
Chad,2013,2110 kcal/person/day
Congo,2004,2263 kcal/person/day
Congo,2005,2043 kcal/person/day
Congo,2006,2143 kcal/person/day
Congo,2007,2135 kcal/person/day
Congo,2008,2110 kcal/person/day
Congo,2009,2142 kcal/person/day
Congo,2010,2143 kcal/person/day
Congo,2011,2185 kcal/person/day
Congo,2012,2158 kcal/person/day
Congo,2013,2208 kcal/person/day
Cote d'Ivoire,2004,2738 kcal/person/day
Cote d'Ivoire,2005,2787 kcal/person/day
Cote d'Ivoire,2006,2783 kcal/person/day
Cote d'Ivoire,2007,2792 kcal/person/day
Cote d'Ivoire,2008,2739 kcal/person/day
Cote d'Ivoire,2009,2727 kcal/person/day
Cote d'Ivoire,2010,2737 kcal/person/day
Cote d'Ivoire,2011,2784 kcal/person/day
Cote d'Ivoire,2012,2780 kcal/person/day
Cote d'Ivoire,2013,2799 kcal/person/day
Djibouti,2004,2136 kcal/person/day
Djibouti,2005,2265 kcal/person/day
Djibouti,2006,2314 kcal/person/day
Djibouti,2007,2414 kcal/person/day
Djibouti,2008,2447 kcal/person/day
Djibouti,2009,2466 kcal/person/day
Djibouti,2010,2467 kcal/person/day
Djibouti,2011,2504 kcal/person/day
Djibouti,2012,2545 kcal/person/day
Djibouti,2013,2607 kcal/person/day
Egypt,2004,3309 kcal/person/day
Egypt,2005,3367 kcal/person/day
Egypt,2006,3389 kcal/person/day
Egypt,2007,3445 kcal/person/day
Egypt,2008,3490 kcal/person/day
Egypt,2009,3441 kcal/person/day
Egypt,2010,3507 kcal/person/day
Egypt,2011,3549 kcal/person/day
Egypt,2012,3561 kcal/person/day
Egypt,2013,3522 kcal/person/day
Ethiopia,2004,1882 kcal/person/day
Ethiopia,2005,1978 kcal/person/day
Ethiopia,2006,1967 kcal/person/day
Ethiopia,2007,1957 kcal/person/day
Ethiopia,2008,2018 kcal/person/day
Ethiopia,2009,2052 kcal/person/day
Ethiopia,2010,2080 kcal/person/day
Ethiopia,2011,2103 kcal/person/day
Ethiopia,2012,2124 kcal/person/day
Ethiopia,2013,2131 kcal/person/day
Gabon,2004,2676 kcal/person/day
Gabon,2005,2715 kcal/person/day
Gabon,2006,2716 kcal/person/day
Gabon,2007,2711 kcal/person/day
Gabon,2008,2653 kcal/person/day
Gabon,2009,2699 kcal/person/day
Gabon,2010,2732 kcal/person/day
Gabon,2011,2772 kcal/person/day
Gabon,2012,2795 kcal/person/day
Gabon,2013,2830 kcal/person/day
Gambia,2004,2465 kcal/person/day
Gambia,2005,2442 kcal/person/day
Gambia,2006,2397 kcal/person/day
Gambia,2007,2535 kcal/person/day
Gambia,2008,2589 kcal/person/day
Gambia,2009,2621 kcal/person/day
