Country,Year_New,Value
Algeria,2004,15536
Algeria,2005,15667
Algeria,2006,16417
Algeria,2007,14763
Algeria,2008,13841
Algeria,2009,19820
Algeria,2010,20263
Algeria,2011,21778
Algeria,2012,24206
Algeria,2013,26359
Angola,2004,13028
Angola,2005,13811
Angola,2006,14264
Angola,2007,16025
Angola,2008,17288
Angola,2009,22244
Angola,2010,23805
Angola,2011,25672
Angola,2012,20505
Angola,2013,28857
Benin,2004,7963
Benin,2005,7764
Benin,2006,7110
Benin,2007,7679
Benin,2008,8723
Benin,2009,9235
Benin,2010,9200
Benin,2011,9735
Benin,2012,9797
Benin,2013,10866
Botswana,2004,461
Botswana,2005,460
Botswana,2006,454
Botswana,2007,439
Botswana,2008,470
Botswana,2009,484
Botswana,2010,503
Botswana,2011,539
Botswana,2012,496
Botswana,2013,502
Burkina Faso,2004,8323
Burkina Faso,2005,9392
Burkina Faso,2006,9393
Burkina Faso,2007,8467
Burkina Faso,2008,10373
Burkina Faso,2009,9607
Burkina Faso,2010,11122
Burkina Faso,2011,9954
Burkina Faso,2012,11634
Burkina Faso,2013,11864
Cabo Verde,2004,148
Cabo Verde,2005,156
Cabo Verde,2006,158
Cabo Verde,2007,157
Cabo Verde,2008,172
Cabo Verde,2009,158
Cabo Verde,2010,149
Cabo Verde,2011,181
Cabo Verde,2012,187
Cabo Verde,2013,192
Cameroon,2004,13739
Cameroon,2005,16033
Cameroon,2006,16962
Cameroon,2007,17657
Cameroon,2008,18459
Cameroon,2009,20729
Cameroon,2010,22310
Cameroon,2011,22964
Cameroon,2012,24044
Cameroon,2013,24773
Central African Republic,2004,2242
Central African Republic,2005,2293
Central African Republic,2006,2329
Central African Republic,2007,2426
Central African Republic,2008,2494
Central African Republic,2009,2569
Central African Republic,2010,2602
Central African Republic,2011,2702
Central African Republic,2012,2761
Central African Republic,2013,2503
Chad,2004,3660
Chad,2005,4360
Chad,2006,4423
Chad,2007,4243
Chad,2008,4332
Chad,2009,4516
Chad,2010,4633
Chad,2011,4070
Chad,2012,5688
Chad,2013,5153
Congo,2004,2241
Congo,2005,2318
Congo,2006,2365
Congo,2007,2438
Congo,2008,2530
Congo,2009,2693
Congo,2010,2707
Congo,2011,2745
Congo,2012,2786
Congo,2013,2968
Cote d'Ivoire,2004,16675
Cote d'Ivoire,2005,17114
Cote d'Ivoire,2006,17660
Cote d'Ivoire,2007,17570
Cote d'Ivoire,2008,18496
Cote d'Ivoire,2009,17351
Cote d'Ivoire,2010,18363
Cote d'Ivoire,2011,18918
Cote d'Ivoire,2012,19919
Cote d'Ivoire,2013,20420
Djibouti,2004,55
Djibouti,2005,62
Djibouti,2006,56
Djibouti,2007,63
Djibouti,2008,62
Djibouti,2009,68
Djibouti,2010,75
Djibouti,2011,72
Djibouti,2012,77
Djibouti,2013,76
Egypt,2004,75989
Egypt,2005,80422
Egypt,2006,83191
Egypt,2007,86828
Egypt,2008,89489
Egypt,2009,90375
Egypt,2010,88450
Egypt,2011,90767
Egypt,2012,96139
Egypt,2013,95848
Ethiopia,2004,26246
Ethiopia,2005,29527
Ethiopia,2006,30117
Ethiopia,2007,29891
Ethiopia,2008,31880
Ethiopia,2009,34508
Ethiopia,2010,38707
Ethiopia,2011,39573
Ethiopia,2012,44142
